trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.5, 'e': 0.4233981153128066}",20,0,-18.175607097158224,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.4200109303903041}",30,0,-30.741058342018935,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.4166508429471817}",20,13,-9.69915778379988,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.41331763620360423}",20,10,-49.0709759544129,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4100110951139754}",30,18,-16.947130606600975,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4067310063530636}",25,0,-20.563587085759092,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.40347715830223907}",25,11,-21.82376445559958,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.40024934103582116}",30,13,14.639846034975571,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3970473463075346}",20,0,-10.777502966425127,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.3938709675370743}",20,0,-4.471757784923488,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.3907199997967777}",20,0,17.92151864132006,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.38759423979840346}",25,5,-77.52001277027131,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
119,False,"{'a': 0.5, 'e': 0.38449348588001625}",30,0,-15.611776757654493,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.3814175379929761}",20,0,-83.20734806062697,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.3783661976890323}",20,0,-46.42581896520456,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.37533926810752005}",20,0,-12.008672083299425,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.3723365539626599}",25,17,0.3771739253698263,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.3693578615309586}",20,8,11.794273712345445,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.36640299863871095}",20,8,-36.35269797797364,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.3634717746496013}",20,0,-10.00770344199473,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.3605640004524045}",20,7,1.7201044885548624,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.3576794884487853}",30,7,-1.3002568279608506,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.354818052541195}",20,14,-34.56707028587324,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.3519795081208654}",25,15,-64.66013066207351,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.3491636720558985}",25,12,22.994134388178395,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3463703626794513}",20,0,16.333636350224353,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3435993997780157}",25,0,-22.39648322814187,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.34085060457979155}",20,0,-12.195812867453643,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.3381237997431532}",20,12,13.141101675957707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.33541880934520796}",30,18,6.975964551477935,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3327354588704463}",20,13,-16.696948626504845,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
